Bolge,Ulke_Sehir,Cinsiyet,Kanser_Turu,Yas_Grubu,Yillik_Vaka_Hizi_100Bin,Yillik_Olum_Hizi_100Bin,Bes_Yillik_Sagkalim_Yuzdesi
Turkiye,Elazig,Erkek,Kolorektal,70+,99.6,48.0,46.4
Turkiye,Elazig,Erkek,Tiroid,30-49,9.2,0.6,99.5
Turkiye,Elazig,Erkek,Tiroid,50-69,9.3,0.6,98.0
Turkiye,Elazig,Erkek,Tiroid,70+,10.8,1.0,84.7
Turkiye,Elazig,Erkek,Mide,30-49,3.7,1.7,27.3
Turkiye,Elazig,Erkek,Mide,50-69,18.0,17.1,22.4
Turkiye,Elazig,Erkek,Mide,70+,30.5,28.0,11.9
Turkiye,Elazig,Erkek,Mesane,30-49,5.7,1.1,72.0
Turkiye,Elazig,Erkek,Mesane,50-69,30.3,9.6,70.9
Turkiye,Elazig,Erkek,Mesane,70+,38.5,15.7,62.1
Turkiye,Elazig,Erkek,Diger,30-49,3.0,0.6,71.2
Turkiye,Elazig,Erkek,Diger,50-69,14.6,4.3,63.3
Turkiye,Elazig,Erkek,Diger,70+,23.6,8.6,52.6
Turkiye,Elazig,Kadin,Akciger,30-49,2.5,1.5,22.4
Turkiye,Elazig,Kadin,Akciger,50-69,16.5,10.4,15.5
Turkiye,Elazig,Kadin,Akciger,70+,17.2,13.8,5.0
Turkiye,Elazig,Kadin,Meme,30-49,48.8,6.8,84.9
Turkiye,Elazig,Kadin,Meme,50-69,107.3,22.8,85.0
Turkiye,Elazig,Kadin,Meme,70+,153.9,44.8,72.0
Turkiye,Elazig,Kadin,Kolorektal,30-49,12.5,4.2,62.6
Turkiye,Elazig,Kadin,Kolorektal,50-69,24.5,10.8,61.1
Turkiye,Elazig,Kadin,Kolorektal,70+,96.7,53.6,47.9
Turkiye,Elazig,Kadin,Tiroid,30-49,34.6,0.6,98.9
Turkiye,Elazig,Kadin,Tiroid,50-69,37.1,0.6,96.6
Turkiye,Elazig,Kadin,Tiroid,70+,55.5,1.2,85.1
Turkiye,Elazig,Kadin,Mide,30-49,2.1,0.9,26.4
Turkiye,Elazig,Kadin,Mide,50-69,11.5,8.3,21.3
Turkiye,Elazig,Kadin,Mide,70+,15.2,12.2,10.7
Turkiye,Elazig,Kadin,Mesane,30-49,0.9,0.2,74.4
Turkiye,Elazig,Kadin,Mesane,50-69,6.2,1.7,70.1
Turkiye,Elazig,Kadin,Mesane,70+,8.0,4.3,58.3
Turkiye,Elazig,Kadin,Diger,30-49,2.8,0.6,65.7
Turkiye,Elazig,Kadin,Diger,50-69,15.9,5.1,65.9
Turkiye,Elazig,Kadin,Diger,70+,27.6,7.3,56.1
Turkiye,Erzincan,Erkek,Akciger,30-49,10.9,6.4,19.4
Turkiye,Erzincan,Erkek,Akciger,50-69,59.9,49.6,15.6
Turkiye,Erzincan,Erkek,Akciger,70+,76.3,61.0,5.0
Turkiye,Erzincan,Erkek,Prostat,30-49,23.7,4.4,93.8
Turkiye,Erzincan,Erkek,Prostat,50-69,30.6,6.2,85.7
Turkiye,Erzincan,Erkek,Prostat,70+,215.3,70.1,78.3
Turkiye,Erzincan,Erkek,Kolorektal,30-49,12.1,4.0,63.7
Turkiye,Erzincan,Erkek,Kolorektal,50-69,28.7,10.4,60.3
Turkiye,Erzincan,Erkek,Kolorektal,70+,93.7,55.7,47.2
Turkiye,Erzincan,Erkek,Tiroid,30-49,9.2,0.6,98.6
Turkiye,Erzincan,Erkek,Tiroid,50-69,10.1,0.6,99.5
Turkiye,Erzincan,Erkek,Tiroid,70+,12.1,1.0,87.9
Turkiye,Erzincan,Erkek,Mide,30-49,3.7,2.0,26.4
Turkiye,Erzincan,Erkek,Mide,50-69,18.7,13.0,22.3
Turkiye,Erzincan,Erkek,Mide,70+,28.7,25.3,12.2
Turkiye,Erzincan,Erkek,Mesane,30-49,5.5,1.1,73.4
Turkiye,Erzincan,Erkek,Mesane,50-69,31.2,6.8,70.7
Turkiye,Erzincan,Erkek,Mesane,70+,37.7,17.3,60.4
Turkiye,Erzincan,Erkek,Diger,30-49,2.8,0.7,67.8
Turkiye,Erzincan,Erkek,Diger,50-69,17.1,5.4,64.6
Turkiye,Erzincan,Erkek,Diger,70+,22.9,8.0,51.5
Turkiye,Erzincan,Kadin,Akciger,30-49,2.4,1.2,17.6
Turkiye,Erzincan,Kadin,Akciger,50-69,15.4,10.3,15.6
Turkiye,Erzincan,Kadin,Akciger,70+,18.7,15.7,5.0
Turkiye,Erzincan,Kadin,Meme,30-49,40.7,7.5,83.5
Turkiye,Erzincan,Kadin,Meme,50-69,133.3,25.7,86.2
Turkiye,Erzincan,Kadin,Meme,70+,177.3,39.2,75.0
Turkiye,Erzincan,Kadin,Kolorektal,30-49,12.4,3.9,65.8
Turkiye,Erzincan,Kadin,Kolorektal,50-69,27.5,11.3,56.0
Turkiye,Erzincan,Kadin,Kolorektal,70+,87.9,55.5,47.2
Turkiye,Erzincan,Kadin,Tiroid,30-49,34.6,0.7,99.5
Turkiye,Erzincan,Kadin,Tiroid,50-69,39.8,0.6,97.8
Turkiye,Erzincan,Kadin,Tiroid,70+,49.1,1.1,86.7
Turkiye,Erzincan,Kadin,Mide,30-49,1.9,1.1,27.2
Turkiye,Erzincan,Kadin,Mide,50-69,9.7,8.4,22.3
Turkiye,Erzincan,Kadin,Mide,70+,18.5,16.5,8.6
Turkiye,Erzincan,Kadin,Mesane,30-49,1.1,0.2,77.4
Turkiye,Erzincan,Kadin,Mesane,50-69,5.8,2.2,73.4
Turkiye,Erzincan,Kadin,Mesane,70+,7.5,3.4,57.9
Turkiye,Erzincan,Kadin,Diger,30-49,2.9,0.5,64.4
Turkiye,Erzincan,Kadin,Diger,50-69,14.5,5.2,67.2
Turkiye,Erzincan,Kadin,Diger,70+,20.2,8.5,55.1
Turkiye,Erzurum,Erkek,Akciger,30-49,9.5,6.0,19.8
Turkiye,Erzurum,Erkek,Akciger,50-69,64.2,49.9,15.1
Turkiye,Erzurum,Erkek,Akciger,70+,69.5,55.6,5.0
Turkiye,Erzurum,Erkek,Prostat,30-49,24.0,4.6,92.3
Turkiye,Erzurum,Erkek,Prostat,50-69,31.1,6.1,85.3
Turkiye,Erzurum,Erkek,Prostat,70+,199.6,69.7,75.3
Turkiye,Erzurum,Erkek,Kolorektal,30-49,11.7,3.9,64.8
Turkiye,Erzurum,Erkek,Kolorektal,50-69,21.7,12.0,58.4
Turkiye,Erzurum,Erkek,Kolorektal,70+,98.4,61.4,44.5
Turkiye,Erzurum,Erkek,Tiroid,30-49,8.5,0.6,96.8
Turkiye,Erzurum,Erkek,Tiroid,50-69,10.2,0.6,97.2
Turkiye,Erzurum,Erkek,Tiroid,70+,12.8,0.9,85.5
Turkiye,Erzurum,Erkek,Mide,30-49,5.1,2.5,27.3
Turkiye,Erzurum,Erkek,Mide,50-69,26.4,19.1,23.6
Turkiye,Erzurum,Erkek,Mide,70+,44.0,38.1,11.4
Turkiye,Erzurum,Erkek,Mesane,30-49,5.9,1.0,78.6
Turkiye,Erzurum,Erkek,Mesane,50-69,31.5,10.2,69.7
Turkiye,Erzurum,Erkek,Mesane,70+,49.7,16.7,60.0
Turkiye,Erzurum,Erkek,Diger,30-49,2.8,0.6,71.7
Turkiye,Erzurum,Erkek,Diger,50-69,15.2,4.2,63.0
Turkiye,Erzurum,Erkek,Diger,70+,20.7,9.0,52.9
Turkiye,Erzurum,Kadin,Akciger,30-49,2.8,1.1,19.8
Turkiye,Erzurum,Kadin,Akciger,50-69,12.0,11.1,14.8
Turkiye,Erzurum,Kadin,Akciger,70+,20.3,17.1,5.3
Turkiye,Erzurum,Kadin,Meme,30-49,52.0,7.9,85.8
Turkiye,Erzurum,Kadin,Meme,50-69,120.3,22.6,87.5
Turkiye,Erzurum,Kadin,Meme,70+,182.2,45.6,72.7
Turkiye,Erzurum,Kadin,Kolorektal,30-49,12.6,3.4,64.5
Turkiye,Erzurum,Kadin,Kolorektal,50-69,26.9,9.4,56.9
Turkiye,Erzurum,Kadin,Kolorektal,70+,93.0,54.7,44.8
Turkiye,Erzurum,Kadin,Tiroid,30-49,39.2,0.6,97.9
Turkiye,Erzurum,Kadin,Tiroid,50-69,35.7,0.7,99.5
Turkiye,Erzurum,Kadin,Tiroid,70+,51.1,1.0,87.1
Turkiye,Erzurum,Kadin,Mide,30-49,2.9,1.5,28.8
Turkiye,Erzurum,Kadin,Mide,50-69,14.1,11.3,23.1
Turkiye,Erzurum,Kadin,Mide,70+,22.6,18.1,10.9
Turkiye,Erzurum,Kadin,Mesane,30-49,0.9,0.3,75.6
Turkiye,Erzurum,Kadin,Mesane,50-69,6.2,2.4,69.2
Turkiye,Erzurum,Kadin,Mesane,70+,8.7,3.8,60.5
Turkiye,Erzurum,Kadin,Diger,30-49,2.2,0.6,68.4
Turkiye,Erzurum,Kadin,Diger,50-69,15.5,5.2,63.7
Turkiye,Erzurum,Kadin,Diger,70+,19.8,8.7,51.4
Turkiye,Eskisehir,Erkek,Akciger,30-49,11.9,6.1,14.3
Turkiye,Eskisehir,Erkek,Akciger,50-69,60.1,47.7,12.1
Turkiye,Eskisehir,Erkek,Akciger,70+,78.2,62.6,5.4
Turkiye,Eskisehir,Erkek,Prostat,30-49,26.8,4.3,92.3
Turkiye,Eskisehir,Erkek,Prostat,50-69,30.8,5.7,84.9
Turkiye,Eskisehir,Erkek,Prostat,70+,174.6,64.4,75.3
Turkiye,Eskisehir,Erkek,Kolorektal,30-49,12.1,3.7,61.8
Turkiye,Eskisehir,Erkek,Kolorektal,50-69,27.3,9.8,60.4
Turkiye,Eskisehir,Erkek,Kolorektal,70+,87.6,52.6,44.4
Turkiye,Eskisehir,Erkek,Tiroid,30-49,8.6,0.6,99.1
Turkiye,Eskisehir,Erkek,Tiroid,50-69,9.7,0.6,96.2
Turkiye,Eskisehir,Erkek,Tiroid,70+,12.3,1.0,88.6
Turkiye,Eskisehir,Erkek,Mide,30-49,3.1,1.9,29.1
Turkiye,Eskisehir,Erkek,Mide,50-69,21.8,14.5,24.3
Turkiye,Eskisehir,Erkek,Mide,70+,31.5,25.0,8.2
Turkiye,Eskisehir,Erkek,Mesane,30-49,4.7,1.1,72.1
Turkiye,Eskisehir,Erkek,Mesane,50-69,30.1,9.3,71.3
Turkiye,Eskisehir,Erkek,Mesane,70+,44.9,16.0,61.3
Turkiye,Eskisehir,Erkek,Diger,30-49,2.5,0.6,68.1
Turkiye,Eskisehir,Erkek,Diger,50-69,16.0,5.4,65.8
Turkiye,Eskisehir,Erkek,Diger,70+,23.0,7.9,56.0
Turkiye,Eskisehir,Kadin,Akciger,30-49,2.8,1.3,22.7
Turkiye,Eskisehir,Kadin,Akciger,50-69,12.1,10.1,13.7
Turkiye,Eskisehir,Kadin,Akciger,70+,20.7,16.8,5.0
Turkiye,Eskisehir,Kadin,Meme,30-49,53.3,7.9,86.5
Turkiye,Eskisehir,Kadin,Meme,50-69,105.9,22.4,88.2
Turkiye,Eskisehir,Kadin,Meme,70+,171.0,41.9,73.2
Turkiye,Eskisehir,Kadin,Kolorektal,30-49,10.3,3.5,66.9
Turkiye,Eskisehir,Kadin,Kolorektal,50-69,23.3,11.2,60.8
Turkiye,Eskisehir,Kadin,Kolorektal,70+,85.6,56.8,48.7
Turkiye,Eskisehir,Kadin,Tiroid,30-49,38.0,0.7,95.2
Turkiye,Eskisehir,Kadin,Tiroid,50-69,41.2,0.6,99.5
Turkiye,Eskisehir,Kadin,Tiroid,70+,55.1,1.0,86.6
Turkiye,Eskisehir,Kadin,Mide,30-49,1.8,1.1,28.0
Turkiye,Eskisehir,Kadin,Mide,50-69,12.1,9.8,23.7
Turkiye,Eskisehir,Kadin,Mide,70+,16.3,14.6,9.7
Turkiye,Eskisehir,Kadin,Mesane,30-49,1.2,0.3,75.1
Turkiye,Eskisehir,Kadin,Mesane,50-69,6.0,2.0,73.1
Turkiye,Eskisehir,Kadin,Mesane,70+,8.8,4.4,57.4
Turkiye,Eskisehir,Kadin,Diger,30-49,2.6,0.6,70.7
Turkiye,Eskisehir,Kadin,Diger,50-69,14.7,4.7,66.6
Turkiye,Eskisehir,Kadin,Diger,70+,22.2,8.1,55.4
Turkiye,Gaziantep,Erkek,Akciger,30-49,12.2,6.3,19.6
Turkiye,Gaziantep,Erkek,Akciger,50-69,64.7,48.4,15.1
Turkiye,Gaziantep,Erkek,Akciger,70+,71.9,57.5,5.0
Turkiye,Gaziantep,Erkek,Prostat,30-49,29.2,4.4,91.1
Turkiye,Gaziantep,Erkek,Prostat,50-69,30.4,5.9,89.6
Turkiye,Gaziantep,Erkek,Prostat,70+,162.6,73.3,75.6
Turkiye,Gaziantep,Erkek,Kolorektal,30-49,11.1,3.5,66.5
Turkiye,Gaziantep,Erkek,Kolorektal,50-69,24.0,10.0,61.0
Turkiye,Gaziantep,Erkek,Kolorektal,70+,97.8,51.8,47.4
Turkiye,Gaziantep,Erkek,Tiroid,30-49,8.3,0.7,99.5
Turkiye,Gaziantep,Erkek,Tiroid,50-69,9.4,0.6,99.5
Turkiye,Gaziantep,Erkek,Tiroid,70+,12.6,1.0,87.0
Turkiye,Gaziantep,Erkek,Mide,30-49,4.0,1.7,26.8
Turkiye,Gaziantep,Erkek,Mide,50-69,19.6,14.9,21.2
Turkiye,Gaziantep,Erkek,Mide,70+,29.0,23.2,11.4
Turkiye,Gaziantep,Erkek,Mesane,30-49,5.2,0.9,76.0
Turkiye,Gaziantep,Erkek,Mesane,50-69,33.7,9.3,71.0
Turkiye,Gaziantep,Erkek,Mesane,70+,41.4,14.4,60.5
Turkiye,Gaziantep,Erkek,Diger,30-49,2.9,0.5,72.4
Turkiye,Gaziantep,Erkek,Diger,50-69,15.7,5.6,62.6
Turkiye,Gaziantep,Erkek,Diger,70+,18.7,8.6,53.9
Turkiye,Gaziantep,Kadin,Akciger,30-49,2.9,1.3,19.1
Turkiye,Gaziantep,Kadin,Akciger,50-69,12.9,11.5,13.3
Turkiye,Gaziantep,Kadin,Akciger,70+,22.2,18.0,5.9
Turkiye,Gaziantep,Kadin,Meme,30-49,50.6,7.4,85.1
Turkiye,Gaziantep,Kadin,Meme,50-69,111.9,24.8,86.1
Turkiye,Gaziantep,Kadin,Meme,70+,153.4,41.4,74.1
Turkiye,Gaziantep,Kadin,Kolorektal,30-49,10.2,4.0,61.7
Turkiye,Gaziantep,Kadin,Kolorektal,50-69,23.6,9.5,55.8
Turkiye,Gaziantep,Kadin,Kolorektal,70+,84.9,52.8,50.5
Turkiye,Gaziantep,Kadin,Tiroid,30-49,36.4,0.6,98.9
Turkiye,Gaziantep,Kadin,Tiroid,50-69,38.4,0.6,96.0
Turkiye,Gaziantep,Kadin,Tiroid,70+,59.4,1.2,83.2
Turkiye,Gaziantep,Kadin,Mide,30-49,1.9,1.1,25.8
Turkiye,Gaziantep,Kadin,Mide,50-69,12.0,8.5,26.9
Turkiye,Gaziantep,Kadin,Mide,70+,17.6,16.0,12.8
Turkiye,Gaziantep,Kadin,Mesane,30-49,1.2,0.3,74.0
Turkiye,Gaziantep,Kadin,Mesane,50-69,6.0,2.4,71.3
Turkiye,Gaziantep,Kadin,Mesane,70+,7.3,3.6,58.9
Turkiye,Gaziantep,Kadin,Diger,30-49,2.7,0.7,67.0
Turkiye,Gaziantep,Kadin,Diger,50-69,15.6,5.6,69.1
Turkiye,Gaziantep,Kadin,Diger,70+,20.3,9.1,54.0
Turkiye,Giresun,Erkek,Akciger,30-49,14.2,7.7,20.3
Turkiye,Giresun,Erkek,Akciger,50-69,61.8,49.4,15.2
Turkiye,Giresun,Erkek,Akciger,70+,106.6,85.3,5.0
Turkiye,Giresun,Erkek,Prostat,30-49,25.3,5.3,90.0
Turkiye,Giresun,Erkek,Prostat,50-69,30.6,5.9,88.5
Turkiye,Giresun,Erkek,Prostat,70+,206.4,59.6,74.0
Turkiye,Giresun,Erkek,Kolorektal,30-49,11.6,3.8,64.3
Turkiye,Giresun,Erkek,Kolorektal,50-69,26.9,9.4,60.9
Turkiye,Giresun,Erkek,Kolorektal,70+,97.1,62.2,47.8
Turkiye,Giresun,Erkek,Tiroid,30-49,9.8,0.6,99.5
Turkiye,Giresun,Erkek,Tiroid,50-69,9.4,0.6,99.5
Turkiye,Giresun,Erkek,Tiroid,70+,13.5,1.1,83.9
Turkiye,Giresun,Erkek,Mide,30-49,3.1,1.8,27.8
Turkiye,Giresun,Erkek,Mide,50-69,18.1,15.2,25.9
Turkiye,Giresun,Erkek,Mide,70+,28.1,23.9,10.8
Turkiye,Giresun,Erkek,Mesane,30-49,5.2,1.0,74.8
Turkiye,Giresun,Erkek,Mesane,50-69,29.8,8.1,70.8
Turkiye,Giresun,Erkek,Mesane,70+,41.5,12.1,62.7
Turkiye,Giresun,Erkek,Diger,30-49,2.9,0.6,69.5
Turkiye,Giresun,Erkek,Diger,50-69,13.6,5.7,68.4
Turkiye,Giresun,Erkek,Diger,70+,21.3,9.5,53.3
Turkiye,Giresun,Kadin,Akciger,30-49,2.8,1.5,19.7
Turkiye,Giresun,Kadin,Akciger,50-69,16.9,12.9,14.8
Turkiye,Giresun,Kadin,Akciger,70+,24.3,23.1,5.0
Turkiye,Giresun,Kadin,Meme,30-49,45.2,6.7,87.8
Turkiye,Giresun,Kadin,Meme,50-69,95.6,26.2,88.5
Turkiye,Giresun,Kadin,Meme,70+,157.1,33.3,73.3
Turkiye,Giresun,Kadin,Kolorektal,30-49,12.2,3.5,62.6
Turkiye,Giresun,Kadin,Kolorektal,50-69,29.2,11.6,57.3
Turkiye,Giresun,Kadin,Kolorektal,70+,83.0,54.5,46.6
Turkiye,Giresun,Kadin,Tiroid,30-49,39.5,0.6,99.1
Turkiye,Giresun,Kadin,Tiroid,50-69,43.9,0.6,98.1
Turkiye,Giresun,Kadin,Tiroid,70+,52.4,1.0,88.3
Turkiye,Giresun,Kadin,Mide,30-49,2.0,1.1,27.6
Turkiye,Giresun,Kadin,Mide,50-69,11.0,8.0,23.6
Turkiye,Giresun,Kadin,Mide,70+,16.0,12.8,10.0
Turkiye,Giresun,Kadin,Mesane,30-49,1.2,0.2,78.6
Turkiye,Giresun,Kadin,Mesane,50-69,5.2,2.3,71.9
Turkiye,Giresun,Kadin,Mesane,70+,7.9,4.0,61.3
Turkiye,Giresun,Kadin,Diger,30-49,2.2,0.6,65.0
Turkiye,Giresun,Kadin,Diger,50-69,13.8,5.7,64.0
Turkiye,Giresun,Kadin,Diger,70+,19.0,8.6,56.7
Turkiye,Gumushane,Erkek,Akciger,30-49,9.5,5.7,22.2
Turkiye,Gumushane,Erkek,Akciger,50-69,71.2,51.6,12.8
Turkiye,Gumushane,Erkek,Akciger,70+,101.4,81.1,5.0
Turkiye,Gumushane,Erkek,Prostat,30-49,24.4,4.5,91.2
Turkiye,Gumushane,Erkek,Prostat,50-69,32.8,6.7,88.6
Turkiye,Gumushane,Erkek,Prostat,70+,185.5,73.8,75.6
Turkiye,Gumushane,Erkek,Kolorektal,30-49,12.9,4.3,61.5
Turkiye,Gumushane,Erkek,Kolorektal,50-69,25.9,10.5,56.2
Turkiye,Gumushane,Erkek,Kolorektal,70+,97.8,67.3,43.7
Turkiye,Gumushane,Erkek,Tiroid,30-49,9.0,0.6,98.4
Turkiye,Gumushane,Erkek,Tiroid,50-69,8.9,0.5,98.6
Turkiye,Gumushane,Erkek,Tiroid,70+,11.8,0.9,88.4
Turkiye,Gumushane,Erkek,Mide,30-49,3.7,1.8,27.9
Turkiye,Gumushane,Erkek,Mide,50-69,20.6,15.3,24.6
Turkiye,Gumushane,Erkek,Mide,70+,26.0,20.8,11.6
Turkiye,Gumushane,Erkek,Mesane,30-49,5.7,1.0,76.0
Turkiye,Gumushane,Erkek,Mesane,50-69,28.9,8.5,69.5
Turkiye,Gumushane,Erkek,Mesane,70+,39.7,18.4,61.4
Turkiye,Gumushane,Erkek,Diger,30-49,3.1,0.5,69.6
Turkiye,Gumushane,Erkek,Diger,50-69,13.4,4.7,63.3
Turkiye,Gumushane,Erkek,Diger,70+,23.1,8.5,54.9
Turkiye,Gumushane,Kadin,Akciger,30-49,2.6,1.5,16.8
Turkiye,Gumushane,Kadin,Akciger,50-69,15.4,11.5,13.2
Turkiye,Gumushane,Kadin,Akciger,70+,21.2,18.9,5.0
Turkiye,Gumushane,Kadin,Meme,30-49,44.8,7.1,89.7
Turkiye,Gumushane,Kadin,Meme,50-69,115.0,25.5,84.6
Turkiye,Gumushane,Kadin,Meme,70+,151.0,45.6,71.6
Turkiye,Gumushane,Kadin,Kolorektal,30-49,11.8,3.9,63.7
Turkiye,Gumushane,Kadin,Kolorektal,50-69,25.6,11.3,60.2
Turkiye,Gumushane,Kadin,Kolorektal,70+,100.8,51.6,46.5
Turkiye,Gumushane,Kadin,Tiroid,30-49,41.6,0.6,95.7
Turkiye,Gumushane,Kadin,Tiroid,50-69,39.1,0.5,98.3
Turkiye,Gumushane,Kadin,Tiroid,70+,61.3,1.0,84.7
Turkiye,Gumushane,Kadin,Mide,30-49,2.2,0.9,26.4
Turkiye,Gumushane,Kadin,Mide,50-69,12.0,8.5,22.6
Turkiye,Gumushane,Kadin,Mide,70+,17.1,16.3,11.5
Turkiye,Gumushane,Kadin,Mesane,30-49,1.1,0.3,75.3
Turkiye,Gumushane,Kadin,Mesane,50-69,6.2,2.1,70.7
Turkiye,Gumushane,Kadin,Mesane,70+,7.7,3.8,57.5
Turkiye,Gumushane,Kadin,Diger,30-49,2.5,0.6,69.9
Turkiye,Gumushane,Kadin,Diger,50-69,15.9,4.8,65.7
Turkiye,Gumushane,Kadin,Diger,70+,21.9,9.1,51.5
Turkiye,Hakkari,Erkek,Akciger,30-49,11.3,6.4,19.5
Turkiye,Hakkari,Erkek,Akciger,50-69,51.7,41.4,19.0
Turkiye,Hakkari,Erkek,Akciger,70+,84.3,67.4,5.0
Turkiye,Hakkari,Erkek,Prostat,30-49,26.8,5.0,89.2
Turkiye,Hakkari,Erkek,Prostat,50-69,33.9,6.3,86.7
Turkiye,Hakkari,Erkek,Prostat,70+,208.5,72.0,76.6
Turkiye,Hakkari,Erkek,Kolorektal,30-49,11.1,4.1,63.4
Turkiye,Hakkari,Erkek,Kolorektal,50-69,26.2,11.1,58.7
Turkiye,Hakkari,Erkek,Kolorektal,70+,104.3,55.6,45.0
Turkiye,Hakkari,Erkek,Tiroid,30-49,8.7,0.6,99.5
Turkiye,Hakkari,Erkek,Tiroid,50-69,9.4,0.6,99.5
Turkiye,Hakkari,Erkek,Tiroid,70+,12.9,1.2,85.9
Turkiye,Hakkari,Erkek,Mide,30-49,5.2,2.8,29.7
Turkiye,Hakkari,Erkek,Mide,50-69,29.9,23.3,22.4
Turkiye,Hakkari,Erkek,Mide,70+,36.8,29.4,12.7
Turkiye,Hakkari,Erkek,Mesane,30-49,5.5,1.2,78.1
Turkiye,Hakkari,Erkek,Mesane,50-69,28.7,8.4,70.7
Turkiye,Hakkari,Erkek,Mesane,70+,44.5,15.1,61.4
Turkiye,Hakkari,Erkek,Diger,30-49,2.8,0.6,66.9
Turkiye,Hakkari,Erkek,Diger,50-69,13.4,5.1,61.2
Turkiye,Hakkari,Erkek,Diger,70+,22.7,8.6,58.8
Turkiye,Hakkari,Kadin,Akciger,30-49,3.0,1.2,19.3
Turkiye,Hakkari,Kadin,Akciger,50-69,15.1,11.9,12.1
Turkiye,Hakkari,Kadin,Akciger,70+,16.8,13.4,5.0
Turkiye,Hakkari,Kadin,Meme,30-49,49.9,8.1,83.8
Turkiye,Hakkari,Kadin,Meme,50-69,93.7,25.6,84.5
Turkiye,Hakkari,Kadin,Meme,70+,135.0,42.5,75.4
Turkiye,Hakkari,Kadin,Kolorektal,30-49,12.1,3.7,63.2
Turkiye,Hakkari,Kadin,Kolorektal,50-69,25.2,9.8,57.7
Turkiye,Hakkari,Kadin,Kolorektal,70+,99.2,57.4,47.3
Turkiye,Hakkari,Kadin,Tiroid,30-49,35.0,0.6,94.3
Turkiye,Hakkari,Kadin,Tiroid,50-69,38.5,0.7,95.5
Turkiye,Hakkari,Kadin,Tiroid,70+,50.7,1.1,88.5
Turkiye,Hakkari,Kadin,Mide,30-49,2.9,1.5,24.0
Turkiye,Hakkari,Kadin,Mide,50-69,16.8,15.2,23.5
Turkiye,Hakkari,Kadin,Mide,70+,23.3,18.6,11.0
Turkiye,Hakkari,Kadin,Mesane,30-49,1.0,0.3,75.9
Turkiye,Hakkari,Kadin,Mesane,50-69,6.0,2.0,73.3
Turkiye,Hakkari,Kadin,Mesane,70+,8.8,3.7,60.8
Turkiye,Hakkari,Kadin,Diger,30-49,2.6,0.6,68.1
Turkiye,Hakkari,Kadin,Diger,50-69,12.9,5.2,61.7
Turkiye,Hakkari,Kadin,Diger,70+,18.9,7.3,52.8
Turkiye,Hatay,Erkek,Akciger,30-49,11.0,6.1,17.6
Turkiye,Hatay,Erkek,Akciger,50-69,56.2,53.9,14.0
Turkiye,Hatay,Erkek,Akciger,70+,89.0,84.6,5.0
Turkiye,Hatay,Erkek,Prostat,30-49,28.8,4.8,90.8
Turkiye,Hatay,Erkek,Prostat,50-69,32.7,5.9,87.0
Turkiye,Hatay,Erkek,Prostat,70+,197.7,65.6,75.4
Turkiye,Hatay,Erkek,Kolorektal,30-49,11.3,3.5,61.0
Turkiye,Hatay,Erkek,Kolorektal,50-69,22.7,9.9,59.3
Turkiye,Hatay,Erkek,Kolorektal,70+,88.4,58.3,47.1
Turkiye,Hatay,Erkek,Tiroid,30-49,7.6,0.6,99.5
Turkiye,Hatay,Erkek,Tiroid,50-69,8.3,0.6,96.7
Turkiye,Hatay,Erkek,Tiroid,70+,12.7,0.9,83.0
Turkiye,Hatay,Erkek,Mide,30-49,3.3,1.8,26.8
Turkiye,Hatay,Erkek,Mide,50-69,17.2,14.5,23.5
Turkiye,Hatay,Erkek,Mide,70+,26.5,21.2,9.8
Turkiye,Hatay,Erkek,Mesane,30-49,6.1,1.0,76.4
Turkiye,Hatay,Erkek,Mesane,50-69,33.9,9.3,70.6
Turkiye,Hatay,Erkek,Mesane,70+,41.6,17.1,56.4
Turkiye,Hatay,Erkek,Diger,30-49,2.5,0.6,71.7
Turkiye,Hatay,Erkek,Diger,50-69,15.5,4.6,64.4
Turkiye,Hatay,Erkek,Diger,70+,20.0,8.3,54.8
Turkiye,Hatay,Kadin,Akciger,30-49,2.2,1.4,21.0
Turkiye,Hatay,Kadin,Akciger,50-69,15.2,10.1,14.7
Turkiye,Hatay,Kadin,Akciger,70+,17.4,13.9,5.0
Turkiye,Hatay,Kadin,Meme,30-49,53.0,6.8,85.3
Turkiye,Hatay,Kadin,Meme,50-69,113.6,21.3,87.1
Turkiye,Hatay,Kadin,Meme,70+,151.7,41.3,73.2
Turkiye,Hatay,Kadin,Kolorektal,30-49,11.5,3.8,63.1
Turkiye,Hatay,Kadin,Kolorektal,50-69,25.2,10.4,59.6
Turkiye,Hatay,Kadin,Kolorektal,70+,107.8,56.6,48.8
Turkiye,Hatay,Kadin,Tiroid,30-49,33.8,0.6,96.2
Turkiye,Hatay,Kadin,Tiroid,50-69,33.5,0.6,99.5
Turkiye,Hatay,Kadin,Tiroid,70+,57.2,1.1,83.4
Turkiye,Hatay,Kadin,Mide,30-49,2.0,1.1,27.8
Turkiye,Hatay,Kadin,Mide,50-69,9.8,8.4,22.9
Turkiye,Hatay,Kadin,Mide,70+,16.8,13.0,10.7
Turkiye,Hatay,Kadin,Mesane,30-49,1.1,0.3,76.7
Turkiye,Hatay,Kadin,Mesane,50-69,6.3,2.1,67.6
Turkiye,Hatay,Kadin,Mesane,70+,8.1,4.2,61.5
Turkiye,Hatay,Kadin,Diger,30-49,2.9,0.6,70.2
Turkiye,Hatay,Kadin,Diger,50-69,14.3,4.9,68.0
